"CATEGORY","VERSION","UNIT","JURISDICTION","CANONICAL_URL","IDENTIFIER","SPDX_IDENTIFIER","TITLE","LANGUAGE_DEFAULT"
"licenses","1.0","by","","https://creativecommons.org/licenses/by/1.0/","CC BY 1.0","CC-BY-1.0","Attribution 1.0 Generic","en"
"licenses","1.0","by","fi","https://creativecommons.org/licenses/by/1.0/fi/","CC BY 1.0 FI","","Nimi Mainittava 1.0","fi"
"licenses","1.0","by","il","https://creativecommons.org/licenses/by/1.0/il/","CC BY 1.0 IL","","Attribution 1.0 Israel","en"
"licenses","1.0","by","nl","https://creativecommons.org/licenses/by/1.0/nl/","CC BY 1.0 NL","","Naamsvermelding 1.0","nl"
"licenses","1.0","by-nc","","https://creativecommons.org/licenses/by-nc/1.0/","CC BY-NC 1.0","CC-BY-NC-1.0","Attribution-NonCommercial 1.0 Generic","en"
"licenses","1.0","by-nc","fi","https://creativecommons.org/licenses/by-nc/1.0/fi/","CC BY-NC 1.0 FI","","Nimi Mainittava - Ei kaupalliseen käyttöön 1.0","fi"
"licenses","1.0","by-nc","il","https://creativecommons.org/licenses/by-nc/1.0/il/","CC BY-NC 1.0 IL","","Attribution-NonCommercial 1.0 Israel","en"
"licenses","1.0","by-nc","nl","https://creativecommons.org/licenses/by-nc/1.0/nl/","CC BY-NC 1.0 NL","","Naamsvermelding-NietCommercieel 1.0","nl"
"licenses","1.0","by-nc-sa","","https://creativecommons.org/licenses/by-nc-sa/1.0/","CC BY-NC-SA 1.0","CC-BY-NC-SA-1.0","Attribution-NonCommercial-ShareAlike 1.0 Generic","en"
"licenses","1.0","by-nc-sa","fi","https://creativecommons.org/licenses/by-nc-sa/1.0/fi/","CC BY-NC-SA 1.0 FI","","Nimi Mainittava - Ei kaupalliseen käyttöön - Sama lisenssi 1.0","fi"
"licenses","1.0","by-nc-sa","il","https://creativecommons.org/licenses/by-nc-sa/1.0/il/","CC BY-NC-SA 1.0 IL","","Attribution-NonCommercial-ShareAlike 1.0 Israel","en"
"licenses","1.0","by-nc-sa","nl","https://creativecommons.org/licenses/by-nc-sa/1.0/nl/","CC BY-NC-SA 1.0 NL","","Naamsvermelding-NietCommercieel-GelijkDelen 1.0","nl"
"licenses","1.0","by-nd","","https://creativecommons.org/licenses/by-nd/1.0/","CC BY-ND 1.0","CC-BY-ND-1.0","Attribution-NoDerivs 1.0 Generic","en"
"licenses","1.0","by-nd","fi","https://creativecommons.org/licenses/by-nd/1.0/fi/","CC BY-ND 1.0 FI","","Nimi Mainittava Ei Jälkiperäisiä teoksia 1.0","fi"
"licenses","1.0","by-nd","il","https://creativecommons.org/licenses/by-nd/1.0/il/","CC BY-ND 1.0 IL","","Attribution-NoDerivs 1.0 Israel","en"
"licenses","1.0","by-nd","nl","https://creativecommons.org/licenses/by-nd/1.0/nl/","CC BY-ND 1.0 NL","","Naamsvermelding-GeenAfgeleideWerken 1.0","nl"
"licenses","1.0","by-nd-nc","","https://creativecommons.org/licenses/by-nd-nc/1.0/","CC BY-ND-NC 1.0","CC-BY-NC-ND-1.0","Attribution-NoDerivs-NonCommercial 1.0 Generic","en"
"licenses","1.0","by-nd-nc","fi","https://creativecommons.org/licenses/by-nd-nc/1.0/fi/","CC BY-ND-NC 1.0 FI","","Nimi Mainittava - Ei Jälkiperäisiä teoksia - Ei kaupalliseen käyttöön 1.0","fi"
"licenses","1.0","by-nd-nc","il","https://creativecommons.org/licenses/by-nd-nc/1.0/il/","CC BY-ND-NC 1.0 IL","","Attribution-NoDerivs-NonCommercial 1.0 Israel","en"
"licenses","1.0","by-nd-nc","nl","https://creativecommons.org/licenses/by-nd-nc/1.0/nl/","CC BY-ND-NC 1.0 NL","","Naamsvermelding-GeenAfgeleideWerken-NietCommercieel 1.0","nl"
"licenses","1.0","by-sa","","https://creativecommons.org/licenses/by-sa/1.0/","CC BY-SA 1.0","CC-BY-SA-1.0","Attribution-ShareAlike 1.0 Generic","en"
"licenses","1.0","by-sa","fi","https://creativecommons.org/licenses/by-sa/1.0/fi/","CC BY-SA 1.0 FI","","Nimi Mainittava - Sama lisenssi 1.0","fi"
"licenses","1.0","by-sa","il","https://creativecommons.org/licenses/by-sa/1.0/il/","CC BY-SA 1.0 IL","","Attribution-ShareAlike 1.0 Israel","en"
"licenses","1.0","by-sa","nl","https://creativecommons.org/licenses/by-sa/1.0/nl/","CC BY-SA 1.0 NL","","Naamsvermelding-GelijkDelen 1.0","nl"
"licenses","1.0","nc","","https://creativecommons.org/licenses/nc/1.0/","CC NC 1.0","","NonCommercial 1.0 Generic","en"
"licenses","1.0","nc","fi","https://creativecommons.org/licenses/nc/1.0/fi/","CC NC 1.0 FI","","Ei kaupalliseen käyttöön 1.0","fi"
"licenses","1.0","nc","nl","https://creativecommons.org/licenses/nc/1.0/nl/","CC NC 1.0 NL","","NietCommercieel 1.0","nl"
"licenses","1.0","nc-sa","","https://creativecommons.org/licenses/nc-sa/1.0/","CC NC-SA 1.0","","NonCommercial-ShareAlike 1.0 Generic","en"
"licenses","1.0","nc-sa","fi","https://creativecommons.org/licenses/nc-sa/1.0/fi/","CC NC-SA 1.0 FI","","Ei kaupalliseen käyttöön - Sama lisenssi 1.0","fi"
"licenses","1.0","nc-sa","nl","https://creativecommons.org/licenses/nc-sa/1.0/nl/","CC NC-SA 1.0 NL","","NietCommercieel-GelijkDelen 1.0","nl"
"licenses","1.0","nc-sampling+","","https://creativecommons.org/licenses/nc-sampling+/1.0/","CC NC-SAMPLING+ 1.0","","NonCommercial Sampling Plus 1.0 Generic","en"
"licenses","1.0","nc-sampling+","tw","https://creativecommons.org/licenses/nc-sampling+/1.0/tw/","CC NC-SAMPLING+ 1.0 TW","","非商業性特別取樣 1.0 台灣","zh-hant"
"licenses","1.0","nd","","https://creativecommons.org/licenses/nd/1.0/","CC ND 1.0","","NoDerivs 1.0 Generic","en"
"licenses","1.0","nd","fi","https://creativecommons.org/licenses/nd/1.0/fi/","CC ND 1.0 FI","","Ei Jälkiperäisiä teoksia 1.0","fi"
"licenses","1.0","nd","nl","https://creativecommons.org/licenses/nd/1.0/nl/","CC ND 1.0 NL","","GeenAfgeleideWerken 1.0","nl"
"licenses","1.0","nd-nc","","https://creativecommons.org/licenses/nd-nc/1.0/","CC ND-NC 1.0","","NoDerivs-NonCommercial 1.0 Generic","en"
"licenses","1.0","nd-nc","fi","https://creativecommons.org/licenses/nd-nc/1.0/fi/","CC ND-NC 1.0 FI","","Ei Jälkiperäisiä teoksia - Ei kaupalliseen käyttöön 1.0","fi"
"licenses","1.0","nd-nc","nl","https://creativecommons.org/licenses/nd-nc/1.0/nl/","CC ND-NC 1.0 NL","","GeenAfgeleideWerken-NietCommercieel 1.0","nl"
"licenses","1.0","sa","","https://creativecommons.org/licenses/sa/1.0/","CC SA 1.0","CC-SA-1.0","ShareAlike 1.0 Generic","en"
"licenses","1.0","sa","fi","https://creativecommons.org/licenses/sa/1.0/fi/","CC SA 1.0 FI","","Sama lisenssi 1.0","fi"
"licenses","1.0","sa","nl","https://creativecommons.org/licenses/sa/1.0/nl/","CC SA 1.0 NL","","GelijkDelen 1.0","nl"
"licenses","1.0","sampling","","https://creativecommons.org/licenses/sampling/1.0/","CC SAMPLING 1.0","","Sampling 1.0 Generic","en"
"licenses","1.0","sampling","br","https://creativecommons.org/licenses/sampling/1.0/br/","CC SAMPLING 1.0 BR","","Licença de Recombinação 1.0","pt-br"
"licenses","1.0","sampling","tw","https://creativecommons.org/licenses/sampling/1.0/tw/","CC SAMPLING 1.0 TW","","取樣 1.0 台灣","zh-hant"
"licenses","1.0","sampling+","","https://creativecommons.org/licenses/sampling+/1.0/","CC SAMPLING+ 1.0","","Sampling Plus 1.0 Generic","en"
"licenses","1.0","sampling+","br","https://creativecommons.org/licenses/sampling+/1.0/br/","CC SAMPLING+ 1.0 BR","","Licença de Recombinação Plus 1.0","pt-br"
"licenses","1.0","sampling+","de","https://creativecommons.org/licenses/sampling+/1.0/de/","CC SAMPLING+ 1.0 DE","","Deutsche Sampling Plus 1.0","de"
"licenses","1.0","sampling+","tw","https://creativecommons.org/licenses/sampling+/1.0/tw/","CC SAMPLING+ 1.0 TW","","特別取樣 1.0 台灣","zh-hant"
"licenses","2.0","by","","https://creativecommons.org/licenses/by/2.0/","CC BY 2.0","CC-BY-2.0","Attribution 2.0 Generic","en"
"licenses","2.0","by","at","https://creativecommons.org/licenses/by/2.0/at/","CC BY 2.0 AT","","Namensnennung 2.0","de"
"licenses","2.0","by","au","https://creativecommons.org/licenses/by/2.0/au/","CC BY 2.0 AU","","Attribution 2.0 Australia","en"
"licenses","2.0","by","be","https://creativecommons.org/licenses/by/2.0/be/","CC BY 2.0 BE","","Attribution 2.0","fr"
"licenses","2.0","by","br","https://creativecommons.org/licenses/by/2.0/br/","CC BY 2.0 BR","","Atribuição 2.0","pt-br"
"licenses","2.0","by","ca","https://creativecommons.org/licenses/by/2.0/ca/","CC BY 2.0 CA","","Attribution 2.0 Canada","en"
"licenses","2.0","by","cl","https://creativecommons.org/licenses/by/2.0/cl/","CC BY 2.0 CL","","Atribución 2.0 (Chile)","es"
"licenses","2.0","by","de","https://creativecommons.org/licenses/by/2.0/de/","CC BY 2.0 DE","","Namensnennung 2.0","de"
"licenses","2.0","by","es","https://creativecommons.org/licenses/by/2.0/es/","CC BY 2.0 ES","","Reconocimiento 2.0","es"
"licenses","2.0","by","fr","https://creativecommons.org/licenses/by/2.0/fr/","CC BY 2.0 FR","","Paternité - 2.0","fr"
"licenses","2.0","by","hr","https://creativecommons.org/licenses/by/2.0/hr/","CC BY 2.0 HR","","Imenovanje 2.0","hr"
"licenses","2.0","by","it","https://creativecommons.org/licenses/by/2.0/it/","CC BY 2.0 IT","","Attribuzione 2.0 (ITALIA)","it"
"licenses","2.0","by","jp","https://creativecommons.org/licenses/by/2.0/jp/","CC BY 2.0 JP","","アトリビューション 2.0（帰属）","ja"
"licenses","2.0","by","kr","https://creativecommons.org/licenses/by/2.0/kr/","CC BY 2.0 KR","","저작자표시 2.0","ko"
"licenses","2.0","by","nl","https://creativecommons.org/licenses/by/2.0/nl/","CC BY 2.0 NL","","Naamsvermelding 2.0","nl"
"licenses","2.0","by","pl","https://creativecommons.org/licenses/by/2.0/pl/","CC BY 2.0 PL","","Uznanie autorstwa 2.0","pl"
"licenses","2.0","by","tw","https://creativecommons.org/licenses/by/2.0/tw/","CC BY 2.0 TW","","姓名標示 2.0 台灣","zh-hant"
"licenses","2.0","by","uk","https://creativecommons.org/licenses/by/2.0/uk/","CC BY 2.0 UK","","Attribution 2.0 UK: England & Wales","en"
"licenses","2.0","by","za","https://creativecommons.org/licenses/by/2.0/za/","CC BY 2.0 ZA","","Attribution 2.0 South Africa","en"
"licenses","2.0","by-nc","","https://creativecommons.org/licenses/by-nc/2.0/","CC BY-NC 2.0","CC-BY-NC-2.0","Attribution-NonCommercial 2.0 Generic","en"
"licenses","2.0","by-nc","at","https://creativecommons.org/licenses/by-nc/2.0/at/","CC BY-NC 2.0 AT","","Namensnennung - Nicht-kommerziell 2.0","de"
"licenses","2.0","by-nc","au","https://creativecommons.org/licenses/by-nc/2.0/au/","CC BY-NC 2.0 AU","","Attribution-NonCommercial 2.0 Australia","en"
"licenses","2.0","by-nc","be","https://creativecommons.org/licenses/by-nc/2.0/be/","CC BY-NC 2.0 BE","","Attribution - Non Commercial 2.0","fr"
"licenses","2.0","by-nc","br","https://creativecommons.org/licenses/by-nc/2.0/br/","CC BY-NC 2.0 BR","","Atribuição - Uso não-Comercial 2.0","pt-br"
"licenses","2.0","by-nc","ca","https://creativecommons.org/licenses/by-nc/2.0/ca/","CC BY-NC 2.0 CA","","Attribution-NonCommercial 2.0 Canada","en"
"licenses","2.0","by-nc","cl","https://creativecommons.org/licenses/by-nc/2.0/cl/","CC BY-NC 2.0 CL","","Atribución-NoComercial 2.0 (Chile)","es"
"licenses","2.0","by-nc","de","https://creativecommons.org/licenses/by-nc/2.0/de/","CC BY-NC 2.0 DE","","Namensnennung","de"
"licenses","2.0","by-nc","es","https://creativecommons.org/licenses/by-nc/2.0/es/","CC BY-NC 2.0 ES","","Reconocimiento-NoComercial 2.0","es"
