"lang_ietf","lang_locale","num_messages","num_trans","num_fuzzy","percent_trans"
"af","af","305","173","0","56"
"an","an","305","296","0","97"
"ar","ar","305","279","0","91"
"ast","ast","305","25","0","8"
"az","az","305","146","0","47"
"be","be","305","271","0","88"
"bg","bg","305","262","0","85"
"bn","bn","305","273","0","89"
"br","br","305","225","0","73"
"ca","ca","305","295","0","96"
"cs","cs","305","296","0","97"
"da","da","305","296","0","97"
"de","de","305","294","0","96"
"de-at","de_AT","305","149","0","48"
"el","el","305","296","0","97"
"en","en","305","296","0","97"
"en-ca","en_CA","305","146","0","47"
"en-gb","en_GB","305","146","0","47"
"eo","eo","305","296","0","97"
"es","es","305","296","0","97"
"es-ar","es_AR","305","165","0","54"
"es-pe","es_PE","305","146","0","47"
"et","et","305","260","0","85"
"eu","eu","305","296","0","97"
"fa","fa","305","262","0","85"
"fa-ir","fa_IR","305","128","0","41"
"fi","fi","305","271","0","88"
"fr","fr","305","289","0","94"
"fr-ca","fr_CA","305","146","0","47"
"fr-ch","fr_CH","305","146","0","47"
"ga","ga","305","219","0","71"
"gl","gl","305","296","0","97"
"he","he","305","201","0","65"
"hi","hi","305","175","0","57"
"hr","hr","305","285","0","93"
"hu","hu","305","258","0","84"
"hy","hy","305","161","0","52"
"ia","ia","305","211","0","69"
"id","id","305","283","0","92"
"is","is","305","289","0","94"
"it","it","305","294","0","96"
"ja","ja","305","295","0","96"
"ka","ka","305","189","0","61"
"kk","kk","305","13","0","4"
"km","km","305","146","0","47"
"ko","ko","305","270","0","88"
"lt","lt","305","296","0","97"
"lv","lv","305","267","0","87"
"mi","mi","305","200","0","65"
"mk","mk","305","173","0","56"
"ml","ml","305","134","0","43"
"mn","mn","305","20","0","6"
"ms","ms","305","263","0","86"
"mt","mt","305","208","0","68"
"my","my","305","115","0","37"
"nl","nl","305","296","0","97"
"no","no","305","268","0","87"
"nso","nso","305","146","0","47"
"oc-aranes","oc@aranes","305","49","0","16"
"os","os","305","147","0","48"
"pl","pl","305","269","0","88"
"pt","pt","305","284","0","93"
"pt-br","pt_BR","305","263","0","86"
"ro","ro","305","296","0","97"
"ru","ru","305","296","0","97"
"si-lk","si_LK","305","20","0","6"
"sk","sk","305","174","0","57"
"sl","sl","305","296","0","97"
"sq","sq","305","201","0","65"
"sr","sr","305","187","0","61"
"sr-latn","sr@latin","305","288","0","94"
"sv","sv","305","296","0","97"
"ta","ta","305","29","0","9"
"te","te","305","159","0","52"
"th","th","305","190","0","62"
"tr","tr","305","296","0","97"
"uk","uk","305","296","0","97"
"uz","uz","305","191","0","62"
"vi","vi","305","206","0","67"
"zh-hans","zh-Hans","305","280","16","91"
"zh-hant","zh-Hant","305","296","0","97"
"zh-hk","zh_HK","305","205","0","67"
"zu","zu","305","146","0","47"
